d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.422837;0;0.422837;0.540932;0;0.540932;0.00202346;0;0.00202346;0.000940775;0;0.000940775;350;4407.26;./sim_stress_06_08_2023_1732480
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.504147;0;0.504147;0.417589;0;0.417589;0.00143525;0;0.00143525;0.000906513;0;0.000906513;391;4519.24;./sim_stress_06_08_2023_1732481
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.389605;0;0.389605;0.51219;0;0.51219;0.000936846;0;0.000936846;0.00125642;0;0.00125642;304;4535.32;./sim_stress_06_08_2023_1732482
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.467901;0;0.467901;0.386658;0;0.386658;0.00104455;0;0.00104455;0.00333054;0;0.00333054;366;4631.8;./sim_stress_06_08_2023_1732483
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.375894;0;0.375894;0.467536;0;0.467536;0.00201989;0;0.00201989;0.00112595;0;0.00112595;318;4650.28;./sim_stress_06_08_2023_1732484
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.420809;0;0.420809;0.330553;0;0.330553;0.00110181;0;0.00110181;0.00136834;0;0.00136834;351;4774.96;./sim_stress_06_08_2023_1732485
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.326022;0;0.326022;0.400942;0;0.400942;0.00219123;0;0.00219123;0.00190756;0;0.00190756;269;4800.74;./sim_stress_06_08_2023_1732486
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.38216;0;0.38216;0.261554;0;0.261554;0.000842312;0;0.000842312;0.00223527;0;0.00223527;313;4862.61;./sim_stress_06_08_2023_1732487
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.28365;0;0.28365;0.308931;0;0.308931;0.00269838;0;0.00269838;0.00146304;0;0.00146304;222;4911.55;./sim_stress_06_08_2023_1732488
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.314247;0;0.314247;0.224136;0;0.224136;0.00221943;0;0.00221943;0.00246788;0;0.00246788;282;4928.92;./sim_stress_06_08_2023_1732489
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.212253;0;0.212253;0.199001;0;0.199001;0.00394375;0;0.00394375;0.00455686;0;0.00455686;190;4971.93;./sim_stress_06_08_2023_17324810
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.240464;0;0.240464;0.0983648;0;0.0983648;0.00385753;0;0.00385753;0.01231;0;0.01231;206;4971.24;./sim_stress_06_08_2023_17324811
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.136548;0;0.136548;0.134977;0;0.134977;0.00506682;0;0.00506682;0.00414483;0;0.00414483;127;4991.55;./sim_stress_06_08_2023_17324812
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.199737;0;0.199737;0.132497;0;0.132497;0.0041424;0;0.0041424;0.00469888;0;0.00469888;209;4982.66;./sim_stress_06_08_2023_17324813
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.244078;0;0.244078;0.248766;0;0.248766;0.00156977;0;0.00156977;0.00226972;0;0.00226972;200;4955.97;./sim_stress_06_08_2023_17324814
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.271859;0;0.271859;0.153369;0;0.153369;0.00204187;0;0.00204187;0.00298719;0;0.00298719;232;4962.69;./sim_stress_06_08_2023_17324815
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.226791;0;0.226791;0.248581;0;0.248581;0.00235624;0;0.00235624;0.00227282;0;0.00227282;208;4959.59;./sim_stress_06_08_2023_17324816
